"","term"
"1","dri"
"2","finish"
"3","honey"
"4","light"
"5","nose"
"6","note"
"7","riesl"
"8","acid"
"9","appl"
"10","lemon"
"11","pear"
"12","riesling"
"13","slight"
"14","sweet"
"15","flavor"
"16","fresh"
"17","intens"
"18","stone"
"19","style"
"20","wine"
"21","acidity"
"22","drink"
"23","fruit"
"24","rich"
"25","hint"
"26","just"
"27","now"
"28","citrus"
"29","miner"
"30","ripe"
"31","white"
"32","aroma"
"33","floral"
"34","flavors"
"35","apricot"
"36","crisp"
"37","dry"
"38","long"
"39","lime"
"40","sugar"
"41","peach"
"42","touch"
"43","spice"
"44","palate"
"45","palat"
"46","balanc"
"47","clean"
"48","green"
"49","show"
